				Alberta	Alberta	Atlantic Canada	Atlantic Canada	British Columbia	British Columbia	North	North	Ontario	Ontario	Prairies	Prairies	Quebec	Quebec
Woman	Gender	Middle Housing	High Perceived Neighbors' Support	52	5	17	10	75	1	5	1	180	23	21	9	107	2
Non-binary	Gender	Middle Housing	High Perceived Neighbors' Support	0	0	1	0	0	0	0	0	1	0	1	0	1	0
Prefer not to answer	Gender	Middle Housing	High Perceived Neighbors' Support	0	0	0	1	1	0	0	0	1	0	0	0	0	0
25 to 34 years	Age Group 	Middle Housing	High Perceived Neighbors' Support	19	1	7	2	30	1	0	0	74	1	8	2	43	0
35 to 44 years	Age Group 	Middle Housing	High Perceived Neighbors' Support	28	2	3	3	23	1	4	0	77	5	11	3	44	0
45 to 54 years	Age Group 	Middle Housing	High Perceived Neighbors' Support	22	3	5	6	25	1	1	0	76	12	4	1	46	2
55 to 64 years	Age Group 	Middle Housing	High Perceived Neighbors' Support	14	2	8	6	24	1	0	1	52	10	10	2	39	0
65 to 74 years	Age Group 	Middle Housing	High Perceived Neighbors' Support	9	1	8	2	23	0	1	0	37	5	3	2	29	0
75 to 84 years	Age Group 	Middle Housing	High Perceived Neighbors' Support	3	1	4	2	14	0	0	0	18	0	7	2	10	0
85 years and over	Age Group 	Middle Housing	High Perceived Neighbors' Support	1	1	1	0	2	0	0	0	9	0	0	0	4	0
$100,001 - $130,000	Household Income	Middle Housing	High Perceived Neighbors' Support	14	1	5	2	17	0	2	1	42	8	9	2	34	0
$40,000 - $70,000	Household Income	Middle Housing	High Perceived Neighbors' Support	17	4	7	7	27	1	0	0	73	7	10	3	35	1
$70,001 - $100,000	Household Income	Middle Housing	High Perceived Neighbors' Support	20	1	8	2	25	2	0	0	68	5	3	3	40	0
Less than $40,000	Household Income	Middle Housing	High Perceived Neighbors' Support	20	1	9	7	24	0	0	0	73	8	13	1	11	0
More than $130,000	Household Income	Middle Housing	High Perceived Neighbors' Support	18	3	3	3	38	1	4	0	71	5	7	1	8	1
Prefer not to answer	Household Income	Middle Housing	High Perceived Neighbors' Support	7	1	4	0	10	0	0	0	16	0	1	2	13	0
Owners	Type of Housing 	Middle Housing	High Perceived Neighbors' Support	66	10	21	15	81	2	5	1	198	27	26	12	112	2
Non-Owners	Type of Housing 	Middle Housing	High Perceived Neighbors' Support	30	1	15	6	60	2	1	0	145	6	17	0	103	0
I live alone	Household Composition	Middle Housing	High Perceived Neighbors' Support	20	2	6	4	27	1	0	0	63	4	9	2	63	0
Your spouse or common-law partner	Household Composition	Middle Housing	High Perceived Neighbors' Support	62	7	26	15	85	3	5	1	217	25	29	8	121	2
Your parent(s) (including in-laws)	Household Composition	Middle Housing	High Perceived Neighbors' Support	3	1	1	2	9	0	1	0	27	4	3	0	8	0
Your grandparent(s) (including in-laws)	Household Composition	Middle Housing	High Perceived Neighbors' Support	0	0	0	0	2	0	0	0	1	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Middle Housing	High Perceived Neighbors' Support	26	3	9	2	39	0	0	0	95	12	10	3	32	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	Middle Housing	High Perceived Neighbors' Support	16	1	0	2	9	0	0	0	41	3	6	3	31	1
Your grandchild(ren)	Household Composition	Middle Housing	High Perceived Neighbors' Support	0	1	2	0	5	0	0	0	3	1	0	0	4	0
Your sibling(s)	Household Composition	Middle Housing	High Perceived Neighbors' Support	2	0	1	1	5	0	0	0	15	1	0	0	5	0
Other relative(s)	Household Composition	Middle Housing	High Perceived Neighbors' Support	1	0	0	0	2	0	0	0	6	0	1	0	2	0
Other non-relative(s)	Household Composition	Middle Housing	High Perceived Neighbors' Support	7	0	1	0	14	0	0	0	17	0	1	0	5	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	Middle Housing	High Perceived Neighbors' Support	31	2	18	14	62	2	1	1	142	10	21	5	94	1
Information about the organisation providing the innovation	Key Pieces of Information	Middle Housing	High Perceived Neighbors' Support	30	6	10	8	38	2	2	1	114	15	17	3	63	1
Sources of funding for the project	Key Pieces of Information	Middle Housing	High Perceived Neighbors' Support	28	5	10	12	36	2	4	0	99	12	14	4	82	2
Contact details of the organisation providing the innovation	Key Pieces of Information	Middle Housing	High Perceived Neighbors' Support	12	3	3	3	18	1	3	0	64	7	5	3	41	1
Reviews of the organisation providing the innovation	Key Pieces of Information	Middle Housing	High Perceived Neighbors' Support	25	6	10	5	37	2	2	0	92	9	12	2	45	0
Images or physical demos of the housing itself	Key Pieces of Information	Middle Housing	High Perceived Neighbors' Support	38	5	13	5	42	1	0	0	110	8	11	4	80	0
Building specifications (e.g. the number of new units to be constructed, the height of the building)	Key Pieces of Information	Middle Housing	High Perceived Neighbors' Support	51	5	17	8	66	2	4	0	171	13	25	6	90	1
Building management plan	Key Pieces of Information	Middle Housing	High Perceived Neighbors' Support	26	3	9	4	39	0	1	1	89	10	7	4	52	0
Detailed information about the process and timelines	Key Pieces of Information	Middle Housing	High Perceived Neighbors' Support	27	2	11	2	27	1	1	0	99	10	9	2	45	0
Man	Gender	Middle Housing	Low Perceived Neighbors' Support	73	19	26	15	71	16	2	3	257	40	36	14	186	2
Woman	Gender	Middle Housing	Low Perceived Neighbors' Support	69	17	34	33	86	17	2	1	227	58	40	16	170	3
Non-binary	Gender	Middle Housing	Low Perceived Neighbors' Support	2	0	0	0	0	0	0	0	3	0	0	0	2	0
Prefer not to answer	Gender	Middle Housing	Low Perceived Neighbors' Support	0	0	1	0	2	0	0	0	1	0	3	0	5	0
25 to 34 years	Age Group 	Middle Housing	Low Perceived Neighbors' Support	21	5	4	3	20	0	0	1	66	7	9	5	43	1
35 to 44 years	Age Group 	Middle Housing	Low Perceived Neighbors' Support	23	9	9	10	22	4	0	0	80	16	15	6	46	0
45 to 54 years	Age Group 	Middle Housing	Low Perceived Neighbors' Support	29	6	13	7	29	7	1	0	110	13	14	2	61	1
55 to 64 years	Age Group 	Middle Housing	Low Perceived Neighbors' Support	35	3	15	13	39	8	0	1	107	22	19	10	93	0
65 to 74 years	Age Group 	Middle Housing	Low Perceived Neighbors' Support	22	6	13	13	24	7	1	2	67	23	12	6	68	1
75 to 84 years	Age Group 	Middle Housing	Low Perceived Neighbors' Support	12	4	4	2	12	6	2	0	38	12	7	1	34	1
85 years and over	Age Group 	Middle Housing	Low Perceived Neighbors' Support	2	3	3	0	13	1	0	0	20	5	3	0	18	1
$100,001 - $130,000	Household Income	Middle Housing	Low Perceived Neighbors' Support	21	5	10	2	25	2	2	1	68	11	12	3	52	0
$40,000 - $70,000	Household Income	Middle Housing	Low Perceived Neighbors' Support	30	3	13	11	28	7	1	2	92	22	22	7	92	1
$70,001 - $100,000	Household Income	Middle Housing	Low Perceived Neighbors' Support	29	5	10	13	25	4	0	0	76	18	11	9	56	0
Less than $40,000	Household Income	Middle Housing	Low Perceived Neighbors' Support	24	11	13	9	36	9	0	0	105	26	18	4	11	1
More than $130,000	Household Income	Middle Housing	Low Perceived Neighbors' Support	20	8	6	7	27	8	1	1	85	14	11	5	5	2
Prefer not to answer	Household Income	Middle Housing	Low Perceived Neighbors' Support	20	4	9	6	18	3	0	0	62	7	5	2	44	1
Owners	Type of Housing 	Middle Housing	Low Perceived Neighbors' Support	111	27	43	42	95	30	3	3	321	82	52	26	226	5
Non-Owners	Type of Housing 	Middle Housing	Low Perceived Neighbors' Support	33	9	18	6	64	3	1	1	167	16	27	4	137	0
I live alone	Household Composition	Middle Housing	Low Perceived Neighbors' Support	34	12	16	8	51	7	1	1	129	18	22	5	114	0
Your spouse or common-law partner	Household Composition	Middle Housing	Low Perceived Neighbors' Support	83	21	37	35	83	24	2	3	286	69	50	21	204	4
Your parent(s) (including in-laws)	Household Composition	Middle Housing	Low Perceived Neighbors' Support	7	4	3	1	14	1	0	0	35	5	1	2	8	0
Your grandparent(s) (including in-laws)	Household Composition	Middle Housing	Low Perceived Neighbors' Support	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Middle Housing	Low Perceived Neighbors' Support	29	6	16	11	32	1	1	1	123	22	17	6	43	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	Middle Housing	Low Perceived Neighbors' Support	12	5	4	5	13	5	1	0	34	11	8	5	46	0
Your grandchild(ren)	Household Composition	Middle Housing	Low Perceived Neighbors' Support	1	1	0	1	1	0	0	0	2	3	1	1	3	0
Your sibling(s)	Household Composition	Middle Housing	Low Perceived Neighbors' Support	4	0	0	0	8	0	0	0	17	3	1	0	1	0
Other relative(s)	Household Composition	Middle Housing	Low Perceived Neighbors' Support	1	1	0	0	5	0	0	0	8	5	1	1	3	0
Other non-relative(s)	Household Composition	Middle Housing	Low Perceived Neighbors' Support	9	0	3	1	7	0	1	1	22	3	2	0	13	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	Middle Housing	Low Perceived Neighbors' Support	59	17	30	23	75	9	3	1	213	50	42	16	161	3
Information about the organisation providing the innovation	Key Pieces of Information	Middle Housing	Low Perceived Neighbors' Support	44	12	23	17	57	12	0	1	162	31	27	12	121	2
Sources of funding for the project	Key Pieces of Information	Middle Housing	Low Perceived Neighbors' Support	38	18	18	18	42	11	0	2	166	36	25	14	138	1
Contact details of the organisation providing the innovation	Key Pieces of Information	Middle Housing	Low Perceived Neighbors' Support	28	5	14	8	25	7	0	1	99	16	18	5	74	1
Reviews of the organisation providing the innovation	Key Pieces of Information	Middle Housing	Low Perceived Neighbors' Support	39	11	17	17	47	7	0	1	139	31	24	7	77	1
Images or physical demos of the housing itself	Key Pieces of Information	Middle Housing	Low Perceived Neighbors' Support	62	6	22	15	44	14	1	2	160	24	15	4	119	1
Building specifications (e.g. the number of new units to be constructed, the height of the building)	Key Pieces of Information	Middle Housing	Low Perceived Neighbors' Support	81	17	23	24	73	19	4	0	225	45	37	15	141	3
Building management plan	Key Pieces of Information	Middle Housing	Low Perceived Neighbors' Support	30	8	17	8	41	14	1	1	106	17	17	7	82	1
Detailed information about the process and timelines	Key Pieces of Information	Middle Housing	Low Perceived Neighbors' Support	37	7	14	11	33	5	2	0	112	24	12	7	50	1
Man	Gender	Modular / Prefab	High Personal Support	52	15	24	17	68	15	2	1	185	27	24	11	159	1
Woman	Gender	Modular / Prefab	High Personal Support	48	8	26	29	73	10	3	2	178	49	22	14	145	4
Non-binary	Gender	Modular / Prefab	High Personal Support	1	0	1	0	0	0	0	0	2	0	0	0	0	0
Prefer not to answer	Gender	Modular / Prefab	High Personal Support	0	0	1	1	0	0	0	0	1	0	1	0	1	0
25 to 34 years	Age Group 	Modular / Prefab	High Personal Support	19	0	5	4	28	0	0	1	59	3	10	4	45	0
35 to 44 years	Age Group 	Modular / Prefab	High Personal Support	18	6	8	10	20	5	2	0	64	14	9	5	50	0
45 to 54 years	Age Group 	Modular / Prefab	High Personal Support	27	6	8	9	21	4	1	0	83	14	4	1	60	2
55 to 64 years	Age Group 	Modular / Prefab	High Personal Support	24	2	14	12	28	6	0	1	74	20	10	7	66	0
65 to 74 years	Age Group 	Modular / Prefab	High Personal Support	7	6	13	9	25	4	1	1	49	14	7	5	54	1
75 to 84 years	Age Group 	Modular / Prefab	High Personal Support	4	2	3	3	16	5	1	0	26	8	6	3	21	1
85 years and over	Age Group 	Modular / Prefab	High Personal Support	2	1	1	0	3	1	0	0	11	3	1	0	9	1
$100,001 - $130,000	Household Income	Modular / Prefab	High Personal Support	16	3	5	3	17	2	2	2	43	10	9	4	49	0
$40,000 - $70,000	Household Income	Modular / Prefab	High Personal Support	20	4	12	12	27	5	0	1	70	16	17	8	67	2
$70,001 - $100,000	Household Income	Modular / Prefab	High Personal Support	18	4	15	10	30	3	0	0	62	17	3	8	53	0
Less than $40,000	Household Income	Modular / Prefab	High Personal Support	24	6	11	9	32	8	0	0	99	17	9	1	11	1
More than $130,000	Household Income	Modular / Prefab	High Personal Support	16	5	4	9	30	6	3	0	70	13	8	2	6	1
Prefer not to answer	Household Income	Modular / Prefab	High Personal Support	7	1	5	4	5	1	0	0	22	3	1	2	22	1
Owners	Type of Housing 	Modular / Prefab	High Personal Support	0	19	34	39	80	22	5	3	209	67	31	23	174	5
Non-Owners	Type of Housing 	Modular / Prefab	High Personal Support	36	4	18	8	61	3	0	0	157	9	16	2	131	0
I live alone	Household Composition	Modular / Prefab	High Personal Support	23	5	10	4	35	7	0	1	93	11	10	5	89	0
Your spouse or common-law partner	Household Composition	Modular / Prefab	High Personal Support	62	13	35	38	81	16	4	2	208	54	32	16	179	5
Your parent(s) (including in-laws)	Household Composition	Modular / Prefab	High Personal Support	6	3	2	2	8	1	0	0	25	7	1	2	7	0
Your grandparent(s) (including in-laws)	Household Composition	Modular / Prefab	High Personal Support	0	0	0	0	2	0	0	0	2	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Modular / Prefab	High Personal Support	20	5	12	11	35	0	1	1	90	24	7	4	39	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	Modular / Prefab	High Personal Support	15	4	4	6	8	4	1	0	27	8	5	5	49	1
Your grandchild(ren)	Household Composition	Modular / Prefab	High Personal Support	0	2	2	1	3	0	0	0	3	3	0	1	2	0
Your sibling(s)	Household Composition	Modular / Prefab	High Personal Support	3	0	1	1	4	0	0	0	11	2	0	0	3	0
Other relative(s)	Household Composition	Modular / Prefab	High Personal Support	1	1	0	0	2	0	0	0	4	4	1	0	2	0
Other non-relative(s)	Household Composition	Modular / Prefab	High Personal Support	8	0	2	1	13	0	1	1	21	2	1	0	8	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	Modular / Prefab	High Personal Support	41	11	27	21	61	8	2	1	156	34	22	14	144	4
Information about the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	High Personal Support	18	6	17	14	45	7	3	2	124	24	14	7	101	2
Sources of funding for the project	Key Pieces of Information	Modular / Prefab	High Personal Support	21	7	13	20	26	6	2	0	120	25	7	8	96	3
Contact details of the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	High Personal Support	17	3	6	6	18	3	0	1	75	14	4	3	57	1
Reviews of the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	High Personal Support	24	8	17	12	31	3	1	0	88	27	12	8	57	1
Images or physical demos of the housing itself	Key Pieces of Information	Modular / Prefab	High Personal Support	53	11	21	15	53	11	0	1	137	26	16	7	136	1
Building specifications (e.g. the number of new units to be constructed & the height of the building)	Key Pieces of Information	Modular / Prefab	High Personal Support	50	6	24	21	71	14	4	1	161	37	25	13	132	2
Building management plan	Key Pieces of Information	Modular / Prefab	High Personal Support	26	5	14	11	35	10	0	2	78	18	13	5	70	0
Detailed information about the process and timelines	Key Pieces of Information	Modular / Prefab	High Personal Support	32	4	11	15	34	11	2	1	101	17	13	6	60	0
Man	Gender	Modular / Prefab	Low Personal Support	65	10	20	8	68	4	1	2	233	23	33	6	134	1
Woman	Gender	Modular / Prefab	Low Personal Support	73	14	25	14	88	8	4	0	229	32	39	11	132	1
Non-binary	Gender	Modular / Prefab	Low Personal Support	1	0	0	0	0	0	0	0	2	0	1	0	3	0
Prefer not to answer	Gender	Modular / Prefab	Low Personal Support	0	0	0	0	3	0	0	0	1	0	2	0	4	0
25 to 34 years	Age Group 	Modular / Prefab	Low Personal Support	21	6	6	1	22	1	0	0	81	5	7	3	41	1
35 to 44 years	Age Group 	Modular / Prefab	Low Personal Support	33	5	4	3	25	0	2	0	93	7	17	4	40	0
45 to 54 years	Age Group 	Modular / Prefab	Low Personal Support	24	3	10	4	33	4	1	0	103	11	14	2	47	1
55 to 64 years	Age Group 	Modular / Prefab	Low Personal Support	25	3	9	7	35	3	0	1	85	12	19	5	66	0
65 to 74 years	Age Group 	Modular / Prefab	Low Personal Support	24	1	8	6	22	3	1	1	55	14	8	3	43	0
75 to 84 years	Age Group 	Modular / Prefab	Low Personal Support	11	3	5	1	10	1	1	0	30	4	8	0	23	0
85 years and over	Age Group 	Modular / Prefab	Low Personal Support	1	3	3	0	12	0	0	0	18	2	2	0	13	0
$100,001 - $130,000	Household Income	Modular / Prefab	Low Personal Support	19	3	10	1	25	0	2	0	67	9	12	1	37	0
$40,000 - $70,000	Household Income	Modular / Prefab	Low Personal Support	27	3	8	6	28	3	1	1	95	13	15	2	60	0
$70,001 - $100,000	Household Income	Modular / Prefab	Low Personal Support	31	2	3	5	20	3	0	0	82	6	11	4	43	0
Less than $40,000	Household Income	Modular / Prefab	Low Personal Support	20	6	11	7	28	1	0	0	79	17	22	4	11	0
More than $130,000	Household Income	Modular / Prefab	Low Personal Support	22	6	5	1	35	3	2	1	86	6	10	4	7	2
Prefer not to answer	Household Income	Modular / Prefab	Low Personal Support	20	4	8	2	23	2	0	0	56	4	5	2	35	0
Owners	Type of Housing 	Modular / Prefab	Low Personal Support	112	18	30	18	96	10	3	1	310	42	47	15	164	2
Non-Owners	Type of Housing 	Modular / Prefab	Low Personal Support	27	6	15	4	63	2	2	1	155	13	28	2	109	0
I live alone	Household Composition	Modular / Prefab	Low Personal Support	31	9	12	8	43	1	1	0	99	11	21	2	88	0
Your spouse or common-law partner	Household Composition	Modular / Prefab	Low Personal Support	83	15	28	12	87	11	3	2	295	40	47	13	146	1
Your parent(s) (including in-laws)	Household Composition	Modular / Prefab	Low Personal Support	4	2	2	1	15	0	1	0	37	2	3	0	9	0
Your grandparent(s) (including in-laws)	Household Composition	Modular / Prefab	Low Personal Support	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Modular / Prefab	Low Personal Support	35	4	13	2	36	1	0	0	128	10	20	5	36	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	Modular / Prefab	Low Personal Support	13	2	0	1	14	1	0	0	48	6	9	3	28	0
Your grandchild(ren)	Household Composition	Modular / Prefab	Low Personal Support	1	0	0	0	3	0	0	0	2	1	1	0	5	0
Your sibling(s)	Household Composition	Modular / Prefab	Low Personal Support	3	0	0	0	9	0	0	0	21	2	1	0	3	0
Other relative(s)	Household Composition	Modular / Prefab	Low Personal Support	1	0	0	0	5	0	0	0	10	1	1	1	3	0
Other non-relative(s)	Household Composition	Modular / Prefab	Low Personal Support	8	0	2	0	8	0	0	0	18	1	2	0	10	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	Modular / Prefab	Low Personal Support	55	9	23	10	64	5	3	2	194	23	36	8	105	1
Information about the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	Low Personal Support	43	6	14	9	54	4	0	0	150	21	25	5	81	1
Sources of funding for the project	Key Pieces of Information	Modular / Prefab	Low Personal Support	32	11	20	7	45	2	1	0	152	18	24	10	98	0
Contact details of the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	Low Personal Support	25	3	8	5	24	4	1	0	99	11	13	3	52	0
Reviews of the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	Low Personal Support	48	9	13	5	44	4	1	0	135	14	21	3	63	0
Images or physical demos of the housing itself	Key Pieces of Information	Modular / Prefab	Low Personal Support	62	10	11	4	60	3	2	0	190	17	27	3	90	0
Building specifications (e.g. the number of new units to be constructed & the height of the building)	Key Pieces of Information	Modular / Prefab	Low Personal Support	78	12	20	12	64	7	2	1	202	21	27	6	97	2
Building management plan	Key Pieces of Information	Modular / Prefab	Low Personal Support	31	4	7	8	40	3	3	0	89	7	14	2	64	1
Detailed information about the process and timelines	Key Pieces of Information	Modular / Prefab	Low Personal Support	31	8	10	3	36	2	2	0	104	12	17	3	47	1
Man	Gender	Modular / Prefab	High Perceived Neighbors' Support	25	8	16	10	44	11	1	1	96	22	18	10	89	0
Woman	Gender	Modular / Prefab	High Perceived Neighbors' Support	22	4	17	18	28	8	3	0	80	29	12	13	64	4
Non-binary	Gender	Modular / Prefab	High Perceived Neighbors' Support	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Prefer not to answer	Gender	Modular / Prefab	High Perceived Neighbors' Support	0	0	1	1	0	0	0	0	1	0	0	0	0	0
25 to 34 years	Age Group 	Modular / Prefab	High Perceived Neighbors' Support	10	0	4	2	15	0	0	1	34	3	5	5	25	0
35 to 44 years	Age Group 	Modular / Prefab	High Perceived Neighbors' Support	9	4	3	5	9	5	2	0	33	7	8	6	24	0
45 to 54 years	Age Group 	Modular / Prefab	High Perceived Neighbors' Support	12	4	5	6	12	2	1	0	41	12	3	1	37	2
55 to 64 years	Age Group 	Modular / Prefab	High Perceived Neighbors' Support	11	1	12	9	11	4	0	0	34	15	5	5	32	0
65 to 74 years	Age Group 	Modular / Prefab	High Perceived Neighbors' Support	3	1	6	5	12	2	1	0	21	8	4	4	27	1
75 to 84 years	Age Group 	Modular / Prefab	High Perceived Neighbors' Support	2	2	3	2	12	5	0	0	8	4	4	2	7	1
85 years and over	Age Group 	Modular / Prefab	High Perceived Neighbors' Support	0	0	1	0	1	1	0	0	6	2	1	0	2	0
$100,001 - $130,000	Household Income	Modular / Prefab	High Perceived Neighbors' Support	3	3	4	2	8	1	1	1	22	9	7	4	26	0
$40,000 - $70,000	Household Income	Modular / Prefab	High Perceived Neighbors' Support	9	2	5	5	16	5	0	0	35	10	8	8	24	1
$70,001 - $100,000	Household Income	Modular / Prefab	High Perceived Neighbors' Support	11	2	9	5	13	3	0	0	28	8	2	6	33	0
Less than $40,000	Household Income	Modular / Prefab	High Perceived Neighbors' Support	12	3	8	8	14	5	0	0	45	13	6	1	7	1
More than $130,000	Household Income	Modular / Prefab	High Perceived Neighbors' Support	7	2	3	7	17	4	3	0	39	9	7	2	0	1
Prefer not to answer	Household Income	Modular / Prefab	High Perceived Neighbors' Support	5	0	5	2	4	1	0	0	8	2	0	2	10	1
Owners	Type of Housing 	Modular / Prefab	High Perceived Neighbors' Support	28	11	23	23	41	17	4	1	103	43	23	20	93	4
Non-Owners	Type of Housing 	Modular / Prefab	High Perceived Neighbors' Support	19	1	11	6	31	2	0	0	74	8	7	3	61	0
I live alone	Household Composition	Modular / Prefab	High Perceived Neighbors' Support	13	2	7	5	14	5	0	1	32	7	7	5	38	0
Your spouse or common-law partner	Household Composition	Modular / Prefab	High Perceived Neighbors' Support	23	9	25	21	44	13	3	0	109	36	19	14	96	4
Your parent(s) (including in-laws)	Household Composition	Modular / Prefab	High Perceived Neighbors' Support	5	1	0	2	6	0	0	0	21	5	1	2	4	0
Your grandparent(s) (including in-laws)	Household Composition	Modular / Prefab	High Perceived Neighbors' Support	0	0	0	0	2	0	0	0	1	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Modular / Prefab	High Perceived Neighbors' Support	9	3	6	4	15	0	0	0	49	14	5	3	21	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	Modular / Prefab	High Perceived Neighbors' Support	5	3	1	4	4	3	1	0	14	7	4	5	30	1
Your grandchild(ren)	Household Composition	Modular / Prefab	High Perceived Neighbors' Support	0	0	0	0	2	0	0	0	2	1	0	1	2	0
Your sibling(s)	Household Composition	Modular / Prefab	High Perceived Neighbors' Support	2	0	1	1	3	0	0	0	6	0	0	0	1	0
Other relative(s)	Household Composition	Modular / Prefab	High Perceived Neighbors' Support	1	1	0	0	1	0	0	0	3	1	0	0	2	0
Other non-relative(s)	Household Composition	Modular / Prefab	High Perceived Neighbors' Support	5	0	1	1	5	0	0	0	10	2	1	0	5	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	Modular / Prefab	High Perceived Neighbors' Support	17	6	17	12	30	4	1	0	76	23	11	11	79	3
Information about the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	High Perceived Neighbors' Support	10	4	10	9	22	4	3	0	57	13	9	5	39	2
Sources of funding for the project	Key Pieces of Information	Modular / Prefab	High Perceived Neighbors' Support	9	3	9	14	14	4	2	0	62	14	4	10	49	2
Contact details of the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	High Perceived Neighbors' Support	9	1	4	1	12	2	0	0	37	8	3	3	25	0
Reviews of the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	High Perceived Neighbors' Support	10	4	11	7	17	4	1	0	46	17	8	9	27	1
Images or physical demos of the housing itself	Key Pieces of Information	Modular / Prefab	High Perceived Neighbors' Support	26	6	14	10	22	8	0	0	64	20	12	6	68	1
Building specifications (e.g. the number of new units to be constructed, the height of the building)	Key Pieces of Information	Modular / Prefab	High Perceived Neighbors' Support	25	4	16	15	29	13	3	1	81	28	14	13	71	2
Building management plan	Key Pieces of Information	Modular / Prefab	High Perceived Neighbors' Support	11	3	8	6	16	7	0	1	43	13	9	3	37	0
Detailed information about the process and timelines	Key Pieces of Information	Modular / Prefab	High Perceived Neighbors' Support	11	3	7	7	16	9	1	1	54	17	10	4	31	0
Man	Gender	Modular / Prefab	Low Perceived Neighbors' Support	92	17	28	15	92	8	2	2	322	28	39	7	204	2
Woman	Gender	Modular / Prefab	Low Perceived Neighbors' Support	99	18	34	25	133	10	4	2	327	52	49	12	213	1
Non-binary	Gender	Modular / Prefab	Low Perceived Neighbors' Support	2	0	1	0	0	0	0	0	4	0	1	0	2	0
Prefer not to answer	Gender	Modular / Prefab	Low Perceived Neighbors' Support	0	0	0	0	3	0	0	0	1	0	3	0	5	0
25 to 34 years	Age Group 	Modular / Prefab	Low Perceived Neighbors' Support	30	6	7	3	35	1	0	0	106	5	12	2	61	1
35 to 44 years	Age Group 	Modular / Prefab	Low Perceived Neighbors' Support	42	7	9	8	36	0	2	0	124	14	18	3	66	0
45 to 54 years	Age Group 	Modular / Prefab	Low Perceived Neighbors' Support	39	5	13	7	42	6	1	0	145	13	15	2	70	1
55 to 64 years	Age Group 	Modular / Prefab	Low Perceived Neighbors' Support	38	4	11	10	52	5	0	2	125	17	24	7	100	0
65 to 74 years	Age Group 	Modular / Prefab	Low Perceived Neighbors' Support	28	6	15	10	35	5	1	2	83	20	11	4	70	0
75 to 84 years	Age Group 	Modular / Prefab	Low Perceived Neighbors' Support	13	3	5	2	14	1	2	0	48	8	10	1	37	0
85 years and over	Age Group 	Modular / Prefab	Low Perceived Neighbors' Support	3	4	3	0	14	0	0	0	23	3	2	0	20	1
$100,001 - $130,000	Household Income	Modular / Prefab	Low Perceived Neighbors' Support	32	3	11	2	34	1	3	1	88	10	14	1	60	0
$40,000 - $70,000	Household Income	Modular / Prefab	Low Perceived Neighbors' Support	38	5	15	13	39	3	1	2	130	19	24	2	103	1
$70,001 - $100,000	Household Income	Modular / Prefab	Low Perceived Neighbors' Support	38	4	9	10	37	3	0	0	116	15	12	6	63	0
Less than $40,000	Household Income	Modular / Prefab	Low Perceived Neighbors' Support	32	9	14	8	46	4	0	0	133	21	25	4	15	0
More than $130,000	Household Income	Modular / Prefab	Low Perceived Neighbors' Support	31	9	6	3	48	5	2	1	117	10	11	4	13	2
Prefer not to answer	Household Income	Modular / Prefab	Low Perceived Neighbors' Support	22	5	8	4	24	2	0	0	70	5	6	2	47	0
Owners	Type of Housing 	Modular / Prefab	Low Perceived Neighbors' Support	149	26	41	34	135	15	4	3	416	66	55	18	245	3
Non-Owners	Type of Housing 	Modular / Prefab	Low Perceived Neighbors' Support	44	9	22	6	93	3	2	1	238	14	37	1	179	0
I live alone	Household Composition	Modular / Prefab	Low Perceived Neighbors' Support	41	12	15	7	64	3	1	0	160	15	24	2	139	0
Your spouse or common-law partner	Household Composition	Modular / Prefab	Low Perceived Neighbors' Support	122	19	38	29	124	14	4	4	394	58	60	15	229	2
Your parent(s) (including in-laws)	Household Composition	Modular / Prefab	Low Perceived Neighbors' Support	5	4	4	1	17	1	1	0	41	4	3	0	12	0
Your grandparent(s) (including in-laws)	Household Composition	Modular / Prefab	Low Perceived Neighbors' Support	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Modular / Prefab	Low Perceived Neighbors' Support	46	6	19	9	56	1	1	1	169	20	22	6	54	1
