				Alberta	Alberta	Atlantic Canada	Atlantic Canada	British Columbia	British Columbia	North	North	Ontario	Ontario	Prairies	Prairies	Quebec	Quebec
Less than $40,000	Household Income	Community Bonds	High Willingness, Low Capability	3	2	1	1	4	0	0	0	8	2	2	0	5	0
More than $130,000	Household Income	Community Bonds	High Willingness, Low Capability	0	0	1	0	2	0	0	0	8	1	0	1	6	0
Prefer not to answer	Household Income	Community Bonds	High Willingness, Low Capability	2	0	1	0	1	0	0	0	3	1	0	0	1	0
Owners	Ownership Status	Community Bonds	High Willingness, Low Capability	9	5	2	0	6	4	0	0	27	3	4	1	16	1
Non-Owners	Ownership Status	Community Bonds	High Willingness, Low Capability	7	2	2	1	9	0	0	0	14	2	2	0	11	0
Single-family home	Type of Housing	Community Bonds	High Willingness, Low Capability	9	5	1	1	6	3	0	0	27	3	4	1	10	1
Accessory Dwelling Unit	Type of Housing	Community Bonds	High Willingness, Low Capability	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apartment (in a building with more than 12 units)	Type of Housing	Community Bonds	High Willingness, Low Capability	2	0	2	0	2	0	0	0	7	1	0	0	2	0
Condominium	Type of Housing	Community Bonds	High Willingness, Low Capability	0	2	0	0	0	0	0	0	1	0	0	0	4	0
Duplex, triplex or fourplex	Type of Housing	Community Bonds	High Willingness, Low Capability	4	0	0	0	0	0	0	0	1	0	0	0	8	0
Larger multiplex (5 - 12 units)	Type of Housing	Community Bonds	High Willingness, Low Capability	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Mobile home	Type of Housing	Community Bonds	High Willingness, Low Capability	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Townhouse, row house or semi-detached house	Type of Housing	Community Bonds	High Willingness, Low Capability	1	0	1	0	6	0	0	0	5	0	1	0	1	0
Other	Type of Housing	Community Bonds	High Willingness, Low Capability	0	0	0	0	1	0	0	0	0	1	1	0	0	0
I live alone	Household Composition	Community Bonds	High Willingness, Low Capability	0	0	0	0	1	1	0	0	1	1	0	0	5	0
Your spouse or common-law partner	Household Composition	Community Bonds	High Willingness, Low Capability	9	6	2	0	9	3	0	0	29	3	4	1	18	1
Your parent(s) (including in-laws)	Household Composition	Community Bonds	High Willingness, Low Capability	2	0	1	0	2	0	0	0	6	0	0	0	2	0
Your grandparent(s) (including in-laws)	Household Composition	Community Bonds	High Willingness, Low Capability	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Community Bonds	High Willingness, Low Capability	8	1	0	0	4	0	0	0	15	1	3	1	4	0
Multiple of your children (birth, adopted, step or foster)	Household Composition	Community Bonds	High Willingness, Low Capability	1	0	0	0	2	0	0	0	4	1	0	0	2	0
Your grandchild(ren)	Household Composition	Community Bonds	High Willingness, Low Capability	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Your sibling(s)	Household Composition	Community Bonds	High Willingness, Low Capability	0	0	0	0	2	0	0	0	2	0	0	0	2	0
Other relative(s)	Household Composition	Community Bonds	High Willingness, Low Capability	1	0	0	0	0	0	0	0	3	1	0	0	0	0
Other non-relative(s)	Household Composition	Community Bonds	High Willingness, Low Capability	4	1	1	1	2	0	0	0	1	0	0	0	1	0
I find it difficult to understand how to invest in community bonds	Barriers	Community Bonds	High Willingness, Low Capability	4	2	1	0	5	1	0	0	15	1	3	0	13	1
The process would be complicated	Barriers	Community Bonds	High Willingness, Low Capability	4	3	1	0	0	1	0	0	10	0	2	0	5	0
The potential returns would be worse than the potential return from traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Barriers	Community Bonds	High Willingness, Low Capability	4	2	1	1	3	0	0	0	7	3	0	0	9	0
They are more risky than traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Barriers	Community Bonds	High Willingness, Low Capability	2	3	0	0	2	1	0	0	21	2	0	0	4	0
It does not align with my financial goals	Barriers	Community Bonds	High Willingness, Low Capability	3	0	1	0	3	0	0	0	6	0	1	1	5	0
It would not give me a greater sense of control over the impact of my investment compared to traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Barriers	Community Bonds	High Willingness, Low Capability	4	3	0	0	3	0	0	0	8	0	2	0	4	0
To my knowledge, there are limited or no opportunities to invest in community bonds in my area	Barriers	Community Bonds	High Willingness, Low Capability	5	4	0	0	5	1	0	0	15	1	2	1	6	1
It would allow me to support local economic development	Drivers	Community Bonds	High Willingness, Low Capability	8	2	2	0	4	1	0	0	9	2	1	0	8	0
It would give me a stronger sense of community	Drivers	Community Bonds	High Willingness, Low Capability	4	1	0	0	2	0	0	0	7	1	1	0	2	0
It would be more financially beneficial than traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Drivers	Community Bonds	High Willingness, Low Capability	2	4	2	1	7	1	0	0	13	3	2	1	10	0
It would give me a greater sense of control over my investments than traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Drivers	Community Bonds	High Willingness, Low Capability	1	1	0	0	3	0	0	0	11	1	1	0	4	0
It would improve access to affordable housing in my community	Drivers	Community Bonds	High Willingness, Low Capability	6	3	1	0	7	2	0	0	12	1	3	0	13	0
It would be compatible with my personal goals	Drivers	Community Bonds	High Willingness, Low Capability	1	4	0	0	0	0	0	0	4	1	0	0	5	0
The price would be more accessible for me than the price of traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Drivers	Community Bonds	High Willingness, Low Capability	3	4	0	0	5	2	0	0	12	1	2	0	7	0
The information comes directly from other customers, e.g. online reviews or forums	Sources of Trust	Community Bonds	High Willingness, Low Capability	5	2	2	0	5	2	0	0	11	1	2	0	1	0
I can verify the information myself through other sources	Sources of Trust	Community Bonds	High Willingness, Low Capability	11	4	1	1	7	3	0	0	25	5	2	1	15	1
The information comes from a governmental organisation	Sources of Trust	Community Bonds	High Willingness, Low Capability	4	4	3	1	9	1	0	0	18	2	4	0	8	1
The information comes from a non-profit organisation	Sources of Trust	Community Bonds	High Willingness, Low Capability	2	0	1	0	3	1	0	0	11	0	4	0	13	0
The information comes from an expert or professional	Sources of Trust	Community Bonds	High Willingness, Low Capability	7	3	2	0	7	1	0	0	17	0	2	1	16	0
The source of the information doesn’t have a financial or political motivation	Sources of Trust	Community Bonds	High Willingness, Low Capability	9	3	1	1	3	3	0	0	16	4	3	1	11	0
The information is formatted and presented professionally	Sources of Trust	Community Bonds	High Willingness, Low Capability	5	2	1	0	5	1	0	0	11	1	1	0	8	1
The information is presented in a visual way (e.g., videos, images, graphs)	Sources of Trust	Community Bonds	High Willingness, Low Capability	4	3	1	0	6	0	0	0	13	2	0	0	9	0
Information about the risk level of the investment	Key Pieces of Information	Community Bonds	High Willingness, Low Capability	6	4	0	1	6	1	0	0	14	3	2	0	12	1
Information about the expected rate of return	Key Pieces of Information	Community Bonds	High Willingness, Low Capability	6	4	1	1	4	1	0	0	17	1	4	0	8	0
Information about the duration of the investment and frequency of payments	Key Pieces of Information	Community Bonds	High Willingness, Low Capability	2	1	3	1	5	2	0	0	5	2	1	1	6	0
Information about any financial backing or guarantees associated with the bond	Key Pieces of Information	Community Bonds	High Willingness, Low Capability	6	3	1	0	7	2	0	0	14	2	0	0	11	0
Information about the organisation issuing the bond, for example their track record and financial position	Key Pieces of Information	Community Bonds	High Willingness, Low Capability	2	1	0	0	2	2	0	0	14	3	3	1	8	1
A comparison of the return rate compared to other investments such as Guaranteed Investment Certificates (GICs)	Key Pieces of Information	Community Bonds	High Willingness, Low Capability	5	0	0	0	5	1	0	0	14	1	1	1	8	0
Testimonials from people who have previously invested	Key Pieces of Information	Community Bonds	High Willingness, Low Capability	5	2	4	0	3	0	0	0	10	1	3	0	7	0
Detailed information about how funding will be used, including project timelines	Key Pieces of Information	Community Bonds	High Willingness, Low Capability	7	2	2	0	7	1	0	0	20	1	1	0	8	1
Information about the projected impact of the project on local affordable housing	Key Pieces of Information	Community Bonds	High Willingness, Low Capability	6	1	1	0	4	2	0	0	8	0	3	0	8	0
Information about how the project aligns with personal values	Key Pieces of Information	Community Bonds	High Willingness, Low Capability	3	3	0	0	2	0	0	0	6	1	0	0	5	0
Man	Gender	Community Bonds	Low Willingness, High Capability	111	23	34	24	106	24	1	2	269	58	44	22	188	2
Woman	Gender	Community Bonds	Low Willingness, High Capability	90	17	36	12	95	21	6	2	259	42	42	15	139	4
Non-binary	Gender	Community Bonds	Low Willingness, High Capability	1	0	0	0	0	0	0	0	1	0	0	0	1	0
Prefer not to answer	Gender	Community Bonds	Low Willingness, High Capability	1	0	0	0	1	0	0	0	0	0	0	1	0	0
25 to 34 years	Age Group	Community Bonds	Low Willingness, High Capability	19	2	11	1	17	3	0	0	57	9	8	3	49	1
35 to 44 years	Age Group	Community Bonds	Low Willingness, High Capability	33	8	7	5	34	9	4	0	90	9	13	5	60	0
45 to 54 years	Age Group	Community Bonds	Low Willingness, High Capability	42	9	12	5	44	5	1	0	112	22	15	6	73	1
55 to 64 years	Age Group	Community Bonds	Low Willingness, High Capability	43	6	11	13	45	10	1	2	113	30	22	12	63	1
65 to 74 years	Age Group	Community Bonds	Low Willingness, High Capability	43	12	13	7	35	9	1	2	97	21	19	8	57	2
75 to 84 years	Age Group	Community Bonds	Low Willingness, High Capability	16	2	14	4	20	8	0	0	44	8	7	4	20	1
85 years and over	Age Group	Community Bonds	Low Willingness, High Capability	7	1	2	1	7	1	0	0	16	1	2	0	6	0
$100,001 - $130,000	Household Income	Community Bonds	Low Willingness, High Capability	42	13	13	6	56	7	2	1	117	17	14	7	86	1
$40,000 - $70,000	Household Income	Community Bonds	Low Willingness, High Capability	37	5	11	5	28	11	0	1	82	14	16	8	46	2
$70,001 - $100,000	Household Income	Community Bonds	Low Willingness, High Capability	45	6	10	8	41	8	0	0	96	26	22	6	60	1
Less than $40,000	Household Income	Community Bonds	Low Willingness, High Capability	10	3	12	9	21	6	1	0	38	9	8	2	22	1
More than $130,000	Household Income	Community Bonds	Low Willingness, High Capability	57	9	15	8	44	10	4	2	156	31	19	10	92	0
Prefer not to answer	Household Income	Community Bonds	Low Willingness, High Capability	12	4	9	0	12	3	0	0	40	3	7	5	22	1
Owners	Ownership Status	Community Bonds	Low Willingness, High Capability	185	37	61	36	172	39	7	3	474	90	79	38	284	6
Non-Owners	Ownership Status	Community Bonds	Low Willingness, High Capability	18	3	9	0	30	6	0	1	55	10	7	0	44	0
Single-family home	Type of Housing	Community Bonds	Low Willingness, High Capability	144	36	59	36	110	32	3	3	352	89	71	37	214	6
Accessory Dwelling Unit	Type of Housing	Community Bonds	Low Willingness, High Capability	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Apartment (in a building with more than 12 units)	Type of Housing	Community Bonds	Low Willingness, High Capability	4	0	2	0	16	3	0	0	15	0	4	0	11	0
Condominium	Type of Housing	Community Bonds	Low Willingness, High Capability	28	0	1	0	38	1	0	0	61	0	7	0	25	0
Duplex, triplex or fourplex	Type of Housing	Community Bonds	Low Willingness, High Capability	10	1	2	0	6	1	2	1	14	2	2	0	28	0
Larger multiplex (5 - 12 units)	Type of Housing	Community Bonds	Low Willingness, High Capability	2	1	2	0	0	0	0	0	1	0	0	0	13	0
Mobile home	Type of Housing	Community Bonds	Low Willingness, High Capability	0	0	2	0	3	5	0	0	1	2	0	1	1	0
Townhouse, row house or semi-detached house	Type of Housing	Community Bonds	Low Willingness, High Capability	11	2	2	0	27	1	1	0	84	4	2	0	35	0
Other	Type of Housing	Community Bonds	Low Willingness, High Capability	4	0	0	0	1	1	1	0	1	3	0	0	1	0
I live alone	Household Composition	Community Bonds	Low Willingness, High Capability	27	3	16	6	41	14	0	1	93	7	14	5	54	1
Your spouse or common-law partner	Household Composition	Community Bonds	Low Willingness, High Capability	152	35	48	28	144	28	6	3	374	84	63	30	245	5
Your parent(s) (including in-laws)	Household Composition	Community Bonds	Low Willingness, High Capability	10	0	4	0	16	1	0	0	28	8	4	0	9	0
Your grandparent(s) (including in-laws)	Household Composition	Community Bonds	Low Willingness, High Capability	0	0	0	0	0	0	0	0	2	0	0	0	1	0
Your child (birth, adopted, step or foster)	Household Composition	Community Bonds	Low Willingness, High Capability	51	11	14	5	36	4	2	0	138	24	23	3	55	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	Community Bonds	Low Willingness, High Capability	16	7	12	4	19	3	0	0	58	11	8	8	58	0
Your grandchild(ren)	Household Composition	Community Bonds	Low Willingness, High Capability	3	1	1	1	1	0	0	0	4	2	0	0	1	0
Your sibling(s)	Household Composition	Community Bonds	Low Willingness, High Capability	1	0	0	0	5	0	0	0	14	0	0	0	4	0
Other relative(s)	Household Composition	Community Bonds	Low Willingness, High Capability	2	0	0	0	1	0	0	0	8	1	0	0	0	0
Other non-relative(s)	Household Composition	Community Bonds	Low Willingness, High Capability	4	1	2	1	7	1	0	0	22	1	0	0	5	0
I find it difficult to understand how to invest in community bonds	Barriers	Community Bonds	Low Willingness, High Capability	53	16	16	11	63	10	1	2	150	22	19	4	141	2
The process would be complicated	Barriers	Community Bonds	Low Willingness, High Capability	13	5	8	4	17	1	0	0	55	3	6	5	39	1
The potential returns would be worse than the potential return from traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Barriers	Community Bonds	Low Willingness, High Capability	56	6	18	11	66	14	4	0	187	34	25	9	111	1
They are more risky than traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Barriers	Community Bonds	Low Willingness, High Capability	40	11	16	8	55	11	2	0	122	27	19	6	81	1
It does not align with my financial goals	Barriers	Community Bonds	Low Willingness, High Capability	71	16	23	12	49	15	2	0	176	37	25	13	92	2
It would not give me a greater sense of control over the impact of my investment compared to traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Barriers	Community Bonds	Low Willingness, High Capability	41	3	12	8	29	10	1	1	92	12	10	3	40	1
To my knowledge, there are limited or no opportunities to invest in community bonds in my area	Barriers	Community Bonds	Low Willingness, High Capability	84	11	34	18	74	22	5	3	200	41	35	23	90	2
It would allow me to support local economic development	Drivers	Community Bonds	Low Willingness, High Capability	50	6	21	16	48	15	1	1	161	18	28	12	120	1
It would give me a stronger sense of community	Drivers	Community Bonds	Low Willingness, High Capability	36	2	9	7	30	9	0	1	85	19	14	7	65	1
It would be more financially beneficial than traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Drivers	Community Bonds	Low Willingness, High Capability	39	9	7	3	47	7	0	0	103	18	16	5	89	0
It would give me a greater sense of control over my investments than traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Drivers	Community Bonds	Low Willingness, High Capability	14	4	1	1	10	2	0	1	26	8	2	3	16	1
It would improve access to affordable housing in my community	Drivers	Community Bonds	Low Willingness, High Capability	43	8	23	15	48	14	3	2	170	28	31	9	128	1
It would be compatible with my personal goals	Drivers	Community Bonds	Low Willingness, High Capability	17	4	7	3	17	3	0	0	33	5	16	1	40	0
The price would be more accessible for me than the price of traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Drivers	Community Bonds	Low Willingness, High Capability	35	4	14	3	30	3	0	0	106	16	13	3	50	1
The information comes directly from other customers, e.g. online reviews or forums	Sources of Trust	Community Bonds	Low Willingness, High Capability	42	6	9	11	36	10	2	0	94	20	15	6	45	1
I can verify the information myself through other sources	Sources of Trust	Community Bonds	Low Willingness, High Capability	155	30	54	26	149	34	6	4	361	75	63	27	230	5
The information comes from a governmental organisation	Sources of Trust	Community Bonds	Low Willingness, High Capability	68	9	25	12	82	13	2	1	206	28	30	16	172	3
The information comes from a non-profit organisation	Sources of Trust	Community Bonds	Low Willingness, High Capability	31	9	16	4	31	11	1	1	96	14	18	4	62	3
The information comes from an expert or professional	Sources of Trust	Community Bonds	Low Willingness, High Capability	103	22	40	18	104	23	6	1	276	52	38	23	171	4
The source of the information doesn’t have a financial or political motivation	Sources of Trust	Community Bonds	Low Willingness, High Capability	112	22	36	20	118	25	3	3	274	64	47	24	137	1
The information is formatted and presented professionally	Sources of Trust	Community Bonds	Low Willingness, High Capability	55	15	16	12	47	10	1	2	158	23	29	10	102	1
The information is presented in a visual way (e.g., videos, images, graphs)	Sources of Trust	Community Bonds	Low Willingness, High Capability	38	7	9	5	37	8	0	0	118	22	14	3	64	0
Information about the risk level of the investment	Key Pieces of Information	Community Bonds	Low Willingness, High Capability	93	20	34	15	111	17	5	1	261	52	43	20	182	2
Information about the expected rate of return	Key Pieces of Information	Community Bonds	Low Willingness, High Capability	93	16	32	16	98	28	2	2	234	52	29	22	162	6
Information about the duration of the investment and frequency of payments	Key Pieces of Information	Community Bonds	Low Willingness, High Capability	52	9	19	10	56	11	2	1	151	30	25	9	93	2
Information about any financial backing or guarantees associated with the bond	Key Pieces of Information	Community Bonds	Low Willingness, High Capability	76	11	25	15	71	16	3	0	183	42	34	12	69	3
Information about the organisation issuing the bond, for example their track record and financial position	Key Pieces of Information	Community Bonds	Low Willingness, High Capability	68	11	18	12	65	21	3	1	156	21	30	13	91	1
A comparison of the return rate compared to other investments such as Guaranteed Investment Certificates (GICs)	Key Pieces of Information	Community Bonds	Low Willingness, High Capability	66	17	19	12	69	15	2	1	183	33	29	11	120	0
Testimonials from people who have previously invested	Key Pieces of Information	Community Bonds	Low Willingness, High Capability	33	7	15	6	26	4	0	0	64	17	8	7	52	0
Detailed information about how funding will be used, including project timelines	Key Pieces of Information	Community Bonds	Low Willingness, High Capability	74	12	26	14	63	13	2	4	196	35	38	14	110	4
Information about the projected impact of the project on local affordable housing	Key Pieces of Information	Community Bonds	Low Willingness, High Capability	28	5	15	4	33	4	2	2	92	11	11	4	57	0
Information about how the project aligns with personal values	Key Pieces of Information	Community Bonds	Low Willingness, High Capability	21	11	7	4	12	4	0	0	60	6	10	2	44	0
Man	Gender	Community Bonds	Low Willingness, Low Capability	74	23	25	27	92	18	1	0	253	52	35	19	292	2
Woman	Gender	Community Bonds	Low Willingness, Low Capability	129	25	49	45	139	22	1	2	447	84	67	27	350	1
Non-binary	Gender	Community Bonds	Low Willingness, Low Capability	1	0	0	0	0	0	0	0	3	1	0	0	0	0
Prefer not to answer	Gender	Community Bonds	Low Willingness, Low Capability	0	0	0	0	2	0	0	0	1	0	1	0	1	0
25 to 34 years	Age Group	Community Bonds	Low Willingness, Low Capability	26	3	6	3	25	2	0	0	78	8	11	4	61	0
35 to 44 years	Age Group	Community Bonds	Low Willingness, Low Capability	29	5	15	9	38	3	2	0	130	9	15	7	97	0
45 to 54 years	Age Group	Community Bonds	Low Willingness, Low Capability	47	8	23	17	48	6	0	0	154	31	28	13	147	1
55 to 64 years	Age Group	Community Bonds	Low Willingness, Low Capability	53	12	15	16	57	8	0	0	153	36	22	10	167	0
65 to 74 years	Age Group	Community Bonds	Low Willingness, Low Capability	28	12	10	20	37	14	0	2	110	30	16	9	96	1
75 to 84 years	Age Group	Community Bonds	Low Willingness, Low Capability	17	6	5	7	22	6	0	0	56	21	7	3	52	1
85 years and over	Age Group	Community Bonds	Low Willingness, Low Capability	4	2	0	0	6	1	0	0	23	2	4	0	23	0
$100,001 - $130,000	Household Income	Community Bonds	Low Willingness, Low Capability	27	5	9	9	35	2	0	1	101	10	16	4	127	0
$40,000 - $70,000	Household Income	Community Bonds	Low Willingness, Low Capability	39	17	21	11	64	10	1	1	168	28	20	11	136	1
$70,001 - $100,000	Household Income	Community Bonds	Low Willingness, Low Capability	39	7	9	18	37	7	0	0	131	34	16	7	132	1
Less than $40,000	Household Income	Community Bonds	Low Willingness, Low Capability	41	12	18	19	37	10	1	0	136	31	27	11	76	1
More than $130,000	Household Income	Community Bonds	Low Willingness, Low Capability	29	6	6	9	34	5	0	0	77	17	9	5	96	0
Prefer not to answer	Household Income	Community Bonds	Low Willingness, Low Capability	29	1	11	6	26	6	0	0	91	17	15	8	76	0
Owners	Ownership Status	Community Bonds	Low Willingness, Low Capability	168	42	57	65	189	37	0	2	568	126	81	42	573	3
Non-Owners	Ownership Status	Community Bonds	Low Willingness, Low Capability	36	6	17	7	44	3	2	0	136	11	22	4	70	0
Single-family home	Type of Housing	Community Bonds	Low Willingness, Low Capability	124	31	48	67	112	32	0	1	420	120	74	38	414	1
Accessory Dwelling Unit	Type of Housing	Community Bonds	Low Willingness, Low Capability	1	0	0	0	1	0	1	0	3	0	0	0	0	0
Apartment (in a building with more than 12 units)	Type of Housing	Community Bonds	Low Willingness, Low Capability	15	1	5	0	26	0	0	0	50	1	12	0	19	0
Condominium	Type of Housing	Community Bonds	Low Willingness, Low Capability	19	1	2	0	42	0	0	0	91	1	7	0	74	1
Duplex, triplex or fourplex	Type of Housing	Community Bonds	Low Willingness, Low Capability	16	4	6	2	16	2	1	1	19	3	4	1	53	0
Larger multiplex (5 - 12 units)	Type of Housing	Community Bonds	Low Willingness, Low Capability	0	0	2	0	1	0	0	0	1	0	3	0	12	0
Mobile home	Type of Housing	Community Bonds	Low Willingness, Low Capability	6	7	5	2	7	3	0	0	3	9	0	6	7	1
Townhouse, row house or semi-detached house	Type of Housing	Community Bonds	Low Willingness, Low Capability	21	1	5	0	28	2	0	0	110	3	2	1	57	0
Other	Type of Housing	Community Bonds	Low Willingness, Low Capability	2	3	1	1	0	1	0	0	7	0	1	0	7	0
I live alone	Household Composition	Community Bonds	Low Willingness, Low Capability	34	7	12	10	56	10	1	0	139	21	29	4	120	1
Your spouse or common-law partner	Household Composition	Community Bonds	Low Willingness, Low Capability	133	36	46	60	146	28	0	2	465	105	56	41	460	2
Your parent(s) (including in-laws)	Household Composition	Community Bonds	Low Willingness, Low Capability	9	2	4	3	15	0	0	0	39	5	4	0	27	0
Your grandparent(s) (including in-laws)	Household Composition	Community Bonds	Low Willingness, Low Capability	0	0	0	0	1	0	0	0	1	0	0	0	1	0
Your child (birth, adopted, step or foster)	Household Composition	Community Bonds	Low Willingness, Low Capability	44	8	21	12	51	4	0	2	195	23	28	10	101	0
Multiple of your children (birth, adopted, step or foster)	Household Composition	Community Bonds	Low Willingness, Low Capability	22	3	9	8	18	2	1	0	81	16	3	5	79	0
Your grandchild(ren)	Household Composition	Community Bonds	Low Willingness, Low Capability	5	1	1	1	2	0	0	0	11	4	1	1	5	0
Your sibling(s)	Household Composition	Community Bonds	Low Willingness, Low Capability	8	0	1	0	6	0	0	0	20	1	2	0	9	0
Other relative(s)	Household Composition	Community Bonds	Low Willingness, Low Capability	5	1	0	0	3	1	0	0	8	2	1	0	3	0
Other non-relative(s)	Household Composition	Community Bonds	Low Willingness, Low Capability	11	0	4	0	10	3	0	1	20	6	7	0	7	0
I find it difficult to understand how to invest in community bonds	Barriers	Community Bonds	Low Willingness, Low Capability	59	16	24	20	66	12	1	1	201	26	23	18	223	1
The process would be complicated	Barriers	Community Bonds	Low Willingness, Low Capability	25	4	10	13	36	5	1	1	95	9	7	8	63	0
The potential returns would be worse than the potential return from traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Barriers	Community Bonds	Low Willingness, Low Capability	52	11	12	11	42	7	1	1	120	22	22	8	121	1
They are more risky than traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Barriers	Community Bonds	Low Willingness, Low Capability	39	9	17	9	66	2	1	0	152	29	16	7	100	1
It does not align with my financial goals	Barriers	Community Bonds	Low Willingness, Low Capability	74	20	22	29	72	12	0	0	228	59	44	23	227	1
It would not give me a greater sense of control over the impact of my investment compared to traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Barriers	Community Bonds	Low Willingness, Low Capability	31	9	7	7	37	5	0	0	99	16	12	4	81	1
To my knowledge, there are limited or no opportunities to invest in community bonds in my area	Barriers	Community Bonds	Low Willingness, Low Capability	51	15	23	23	55	9	1	2	163	43	27	15	117	0
It would allow me to support local economic development	Drivers	Community Bonds	Low Willingness, Low Capability	28	10	14	15	39	5	0	0	134	20	19	5	114	0
It would give me a stronger sense of community	Drivers	Community Bonds	Low Willingness, Low Capability	24	7	13	11	22	2	0	1	51	9	12	3	61	0
It would be more financially beneficial than traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Drivers	Community Bonds	Low Willingness, Low Capability	33	5	12	10	32	2	0	0	95	10	12	3	86	0
It would give me a greater sense of control over my investments than traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Drivers	Community Bonds	Low Willingness, Low Capability	7	1	5	2	21	1	0	0	50	3	5	2	25	0
It would improve access to affordable housing in my community	Drivers	Community Bonds	Low Willingness, Low Capability	35	7	16	15	45	5	0	1	133	20	16	7	124	0
It would be compatible with my personal goals	Drivers	Community Bonds	Low Willingness, Low Capability	12	2	3	3	17	3	0	1	45	13	8	4	38	0
The price would be more accessible for me than the price of traditional investments (e.g., mutual funds, stocks, Exchange-Traded Funds)	Drivers	Community Bonds	Low Willingness, Low Capability	28	3	5	8	47	6	0	0	109	13	9	7	59	0
The information comes directly from other customers, e.g. online reviews or forums	Sources of Trust	Community Bonds	Low Willingness, Low Capability	34	15	18	21	35	3	0	1	138	36	19	11	114	0
I can verify the information myself through other sources	Sources of Trust	Community Bonds	Low Willingness, Low Capability	146	32	42	57	151	28	2	2	447	109	71	33	428	3
The information comes from a governmental organisation	Sources of Trust	Community Bonds	Low Willingness, Low Capability	65	13	32	25	91	20	0	1	275	44	30	12	291	2
The information comes from a non-profit organisation	Sources of Trust	Community Bonds	Low Willingness, Low Capability	44	13	16	9	47	9	0	0	142	25	26	6	124	0
The information comes from an expert or professional	Sources of Trust	Community Bonds	Low Willingness, Low Capability	92	24	37	35	122	18	1	1	359	66	54	26	351	1
The source of the information doesn’t have a financial or political motivation	Sources of Trust	Community Bonds	Low Willingness, Low Capability	120	21	38	34	121	22	2	1	329	68	54	19	249	2
The information is formatted and presented professionally	Sources of Trust	Community Bonds	Low Willingness, Low Capability	60	12	20	15	70	11	0	0	206	33	31	12	205	1
The information is presented in a visual way (e.g., videos, images, graphs)	Sources of Trust	Community Bonds	Low Willingness, Low Capability	45	14	19	18	59	9	1	0	196	29	23	18	156	0
Information about the risk level of the investment	Key Pieces of Information	Community Bonds	Low Willingness, Low Capability	113	17	34	42	121	20	2	0	303	61	48	21	338	2
Information about the expected rate of return	Key Pieces of Information	Community Bonds	Low Willingness, Low Capability	71	29	28	32	85	17	2	0	273	59	37	26	271	0
Information about the duration of the investment and frequency of payments	Key Pieces of Information	Community Bonds	Low Willingness, Low Capability	54	13	16	24	69	15	0	2	209	29	31	10	202	0
Information about any financial backing or guarantees associated with the bond	Key Pieces of Information	Community Bonds	Low Willingness, Low Capability	84	12	18	19	88	12	0	0	280	52	35	19	197	2
Information about the organisation issuing the bond, for example their track record and financial position	Key Pieces of Information	Community Bonds	Low Willingness, Low Capability	53	14	21	9	66	10	0	2	207	38	30	11	175	1
A comparison of the return rate compared to other investments such as Guaranteed Investment Certificates (GICs)	Key Pieces of Information	Community Bonds	Low Willingness, Low Capability	52	15	19	19	68	14	0	1	218	37	26	7	209	1
Testimonials from people who have previously invested	Key Pieces of Information	Community Bonds	Low Willingness, Low Capability	34	16	18	23	37	7	0	1	145	25	22	11	134	2
Detailed information about how funding will be used, including project timelines	Key Pieces of Information	Community Bonds	Low Willingness, Low Capability	72	19	33	30	81	17	2	0	235	58	31	22	203	0
Information about the projected impact of the project on local affordable housing	Key Pieces of Information	Community Bonds	Low Willingness, Low Capability	40	4	17	14	44	3	0	0	125	27	22	6	113	0
Information about how the project aligns with personal values	Key Pieces of Information	Community Bonds	Low Willingness, Low Capability	31	5	16	4	34	4	0	0	105	23	23	4	72	0
Man	Gender	Modular/ Prefab	Adopted	12	9	3	5	10	9	0	0	4	10	2	4	26	1
Woman	Gender	Modular/ Prefab	Adopted	13	10	6	8	18	8	0	1	11	9	5	4	14	1
Non-binary	Gender	Modular/ Prefab	Adopted	0	0	0	0	0	0	0	0	0	0	0	0	0	0
